"File","Group","ObjType","SourceTable","DocKey","ObjectId","SampleSource","Status","Error","Pages","Records","Ms","OrigServer","OrigDb","OrigDbFlag","Subreports","Tables","ParamsSet","Pdf"
"1.Sale Quotation_ใบเสนอราคาขาย_(BOM) ENG.rpt","Form","23","OQUT","16","23","real","OK","","1","2","3304","192.168.0.216","SBO_SDA_REAL","","0","4","DocKey@,ObjectId@","1.Sale Quotation_ใบเสนอราคาขาย_(BOM) ENG.pdf"
"1.Sale Quotation_ใบเสนอราคาขาย_(Bom).rpt","Form","23","OQUT","16","23","real","OK","","1","2","6851","192.168.0.216","SBO_SDA_REAL","","0","4","DocKey@,ObjectId@","1.Sale Quotation_ใบเสนอราคาขาย_(Bom).pdf"
"2.AP Down Payment Invoice_ENG ใบจ่ายเงินมัดจำใบกำกับภาษี.rpt","Form","204","ODPO","-1","204","none","NO-SAMPLE","smoke run OK (key -1); ODPO empty, no draft","1","0","3050","192.168.0.216","SBO_SDA_REAL","","0","4","DocKey@,ObjectId@","2.AP Down Payment Invoice_ENG ใบจ่ายเงินมัดจำใบกำกับภาษี.pdf"
"2.AP Down Payment Invoice_ใบจ่ายเงินมัดจำใบกำกับภาษี.rpt","Form","204","ODPO","-1","204","none","NO-SAMPLE","smoke run OK (key -1); ODPO empty, no draft","1","0","3179","192.168.0.216","SBO_SDA_REAL","","0","4","DocKey@,ObjectId@","2.AP Down Payment Invoice_ใบจ่ายเงินมัดจำใบกำกับภาษี.pdf"
"2.AR Down PaymentTax Invoice_BOM ใบเสร็จรับเงินมัดจำใบกำกับภาษี.rpt","Form","203","ODPI","-1","203","none","NO-SAMPLE","smoke run OK (key -1); ODPI empty, no draft","1","0","2937","192.168.0.216","SBO_SDA_REAL","","0","4","DocKey@,ObjectId@","2.AR Down PaymentTax Invoice_BOM ใบเสร็จรับเงินมัดจำใบกำกับภาษี.pdf"
"2.AR Down PaymentTax Invoice_BOM_ENG ใบเสร็จรับเงินมัดจำใบกำกับภาษี.rpt","Form","203","ODPI","-1","203","none","NO-SAMPLE","smoke run OK (key -1); ODPI empty, no draft","1","0","2868","192.168.0.216","SBO_SDA_REAL","","0","4","DocKey@,ObjectId@","2.AR Down PaymentTax Invoice_BOM_ENG ใบเสร็จรับเงินมัดจำใบกำกับภาษี.pdf"
"2.AR Down PaymentTax Invoice_Dis ใบเสร็จรับเงินมัดจำใบกำกับภาษี.rpt","Form","203","ODPI","-1","203","none","NO-SAMPLE","smoke run OK (key -1); ODPI empty, no draft","1","0","3250","192.168.0.216","SBO_SDA_REAL","","0","4","DocKey@,ObjectId@","2.AR Down PaymentTax Invoice_Dis ใบเสร็จรับเงินมัดจำใบกำกับภาษี.pdf"
"2.AR Down PaymentTax Invoice_Dis_ENG ใบเสร็จรับเงินมัดจำใบกำกับภาษี.rpt","Form","203","ODPI","-1","203","none","NO-SAMPLE","smoke run OK (key -1); ODPI empty, no draft","1","0","2709","192.168.0.216","SBO_SDA_REAL","","0","4","DocKey@,ObjectId@","2.AR Down PaymentTax Invoice_Dis_ENG ใบเสร็จรับเงินมัดจำใบกำกับภาษี.pdf"
"2.BillingAR InvoiceTax Invoice_ENG ใบวางบิลใบแจ้งหนี้ใบกำกับภาษี (Bom).rpt","Form","13","OINV","-1","13","none","NO-SAMPLE","smoke run OK (key -1); OINV empty, no draft","1","0","2891","192.168.0.216","SBO_SDA_REAL","","0","4","DocKey@,ObjectId@","2.BillingAR InvoiceTax Invoice_ENG ใบวางบิลใบแจ้งหนี้ใบกำกับภาษี (Bom).pdf"
"2.BillingAR InvoiceTax Invoice_ENG ใบวางบิลใบแจ้งหนี้ใบกำกับภาษี (Dis).rpt","Form","13","OINV","-1","13","none","NO-SAMPLE","smoke run OK (key -1); OINV empty, no draft","1","0","3065","192.168.0.216","SBO_SDA_REAL","","0","4","DocKey@,ObjectId@","2.BillingAR InvoiceTax Invoice_ENG ใบวางบิลใบแจ้งหนี้ใบกำกับภาษี (Dis).pdf"
