"File","Group","ObjType","Table","DocKey","ObjectId","Source","Note"
"2.AR Down PaymentTax Invoice_Dis ใบเสร็จรับเงินมัดจำใบกำกับภาษี.rpt","Form","203","ODPI","-1","203","none","ODPI empty, no draft"
"2.AR Down PaymentTax Invoice_Dis_ENG ใบเสร็จรับเงินมัดจำใบกำกับภาษี.rpt","Form","203","ODPI","-1","203","none","ODPI empty, no draft"
"2.BillingAR InvoiceTax Invoice_ENG ใบวางบิลใบแจ้งหนี้ใบกำกับภาษี (Bom).rpt","Form","13","OINV","-1","13","none","OINV empty, no draft"
"2.BillingAR InvoiceTax Invoice_ENG ใบวางบิลใบแจ้งหนี้ใบกำกับภาษี (Dis).rpt","Form","13","OINV","-1","13","none","OINV empty, no draft"
"2.BillingAR InvoiceTax Invoice_ใบวางบิลใบแจ้งหนี้ใบกำกับภาษี (Bom).rpt","Form","13","OINV","-1","13","none","OINV empty, no draft"
"2.BillingAR InvoiceTax Invoice_ใบวางบิลใบแจ้งหนี้ใบกำกับภาษี (Dis).rpt","Form","13","OINV","-1","13","none","OINV empty, no draft"
"2.Incoming Payments_ ENG ใบเสร็จรับเงินใบกำกับภาษี.rpt","Form","24","ORCT","-1","24","none","ORCT empty, no draft"
"2.Incoming Payments_ใบเสร็จรับเงินใบกำกับภาษี.rpt","Form","24","ORCT","-1","24","none","ORCT empty, no draft"
"2.Inventory Counting_ใบหลังตรวจนับสินค้า_After.rpt","Form","1470000065","OINC","-1","1470000065","none","OINC empty, no draft"
"2.Sale Order_ใบสั่งขาย_(Bom).rpt","Form","17","ORDR","7","17","real",""
"2.Sale Quotation_ใบเสนอราคาขาย_(Dis) ENG.rpt","Form","23","OQUT","16","23","real",""
"2.Sale Quotation_ใบเสนอราคาขาย_(Dis).rpt","Form","23","OQUT","16","23","real",""
"3.AR Down Payment Invoice_BOM ใบแจ้งหนี้เงินค่ามัดจำใบกำกับภาษี.rpt","Form","203","ODPI","-1","203","none","ODPI empty, no draft"
"3.AR Down Payment Invoice_Dis ใบแจ้งหนี้เงินค่ามัดจำใบกำกับภาษี.rpt","Form","203","ODPI","-1","203","none","ODPI empty, no draft"
"3.AR Down PaymentTax Invoice_BOM_ENG ใบแจ้งหนี้เงินค่ามัดจำใบกำกับภาษี.rpt","Form","203","ODPI","-1","203","none","ODPI empty, no draft"
"3.AR Down PaymentTax Invoice_Dis_ENG ใบแจ้งหนี้เงินค่ามัดจำใบกำกับภาษี.rpt","Form","203","ODPI","-1","203","none","ODPI empty, no draft"
"3.BillingAR Invoice_ENG ใบวางบิลใบแจ้งหนี้ (Bom).rpt","Form","13","OINV","-1","13","none","OINV empty, no draft"
"3.BillingAR Invoice_ENG ใบวางบิลใบแจ้งหนี้ (Dis).rpt","Form","13","OINV","-1","13","none","OINV empty, no draft"
"3.BillingAR Invoice_ใบวางบิลใบแจ้งหนี้ (Bom).rpt","Form","13","OINV","-1","13","none","OINV empty, no draft"
"3.BillingAR Invoice_ใบวางบิลใบแจ้งหนี้ (Dis).rpt","Form","13","OINV","-1","13","none","OINV empty, no draft"
"4.AR Invoice_ENG ใบแจ้งหนี้ใบกำกับภาษี_(BOM).rpt","Form","13","OINV","-1","13","none","OINV empty, no draft"
"4.AR Invoice_ENG ใบแจ้งหนี้ใบกำกับภาษี_(Dis).rpt","Form","13","OINV","-1","13","none","OINV empty, no draft"
"4.AR Invoice_ใบแจ้งหนี้ใบแจ้งหนี้ใบกำกับภาษี_(BOM).rpt","Form","13","OINV","-1","13","none","OINV empty, no draft"
