"File","ObjType","DocKey","Status","Records","Pages","Note"
"2.BillingAR InvoiceTax Invoice_ENG ใบวางบิลใบแจ้งหนี้ใบกำกับภาษี (Bom).rpt","13","1","OK-REPLACED","1","1",""
"2.BillingAR InvoiceTax Invoice_ENG ใบวางบิลใบแจ้งหนี้ใบกำกับภาษี (Dis).rpt","13","1","OK-REPLACED","1","1",""
"2.BillingAR InvoiceTax Invoice_ใบวางบิลใบแจ้งหนี้ใบกำกับภาษี (Bom).rpt","13","1","OK-REPLACED","1","1",""
"2.BillingAR InvoiceTax Invoice_ใบวางบิลใบแจ้งหนี้ใบกำกับภาษี (Dis).rpt","13","1","OK-REPLACED","1","1",""
"2.Incoming Payments_ ENG ใบเสร็จรับเงินใบกำกับภาษี.rpt","24","1","OK-REPLACED","1","1",""
"2.Incoming Payments_ใบเสร็จรับเงินใบกำกับภาษี.rpt","24","1","OK-REPLACED","1","1",""
"2.Inventory Counting_ใบหลังตรวจนับสินค้า_After.rpt","1470000065","1","OK-REFRESHED","1","1","rpt has Save Data with Report = on; rendered after Refresh()"
"3.AR Down Payment Invoice_BOM ใบแจ้งหนี้เงินค่ามัดจำใบกำกับภาษี.rpt","203","1","OK-REPLACED","1","1",""
"3.AR Down Payment Invoice_Dis ใบแจ้งหนี้เงินค่ามัดจำใบกำกับภาษี.rpt","203","1","OK-REPLACED","1","1",""
"3.AR Down PaymentTax Invoice_BOM_ENG ใบแจ้งหนี้เงินค่ามัดจำใบกำกับภาษี.rpt","203","1","OK-REPLACED","1","1",""
"3.AR Down PaymentTax Invoice_Dis_ENG ใบแจ้งหนี้เงินค่ามัดจำใบกำกับภาษี.rpt","203","1","OK-REPLACED","1","1",""
"3.BillingAR Invoice_ENG ใบวางบิลใบแจ้งหนี้ (Bom).rpt","13","1","OK-REPLACED","1","1",""
"3.BillingAR Invoice_ENG ใบวางบิลใบแจ้งหนี้ (Dis).rpt","13","1","OK-REPLACED","1","1",""
"3.BillingAR Invoice_ใบวางบิลใบแจ้งหนี้ (Bom).rpt","13","1","OK-REPLACED","1","1",""
"3.BillingAR Invoice_ใบวางบิลใบแจ้งหนี้ (Dis).rpt","13","1","OK-REPLACED","1","1",""
"4.AR Invoice_ENG ใบแจ้งหนี้ใบกำกับภาษี_(BOM).rpt","13","1","OK-REPLACED","1","1",""
"4.AR Invoice_ENG ใบแจ้งหนี้ใบกำกับภาษี_(Dis).rpt","13","1","OK-REPLACED","1","1",""
"4.AR Invoice_ใบแจ้งหนี้ใบแจ้งหนี้ใบกำกับภาษี_(BOM).rpt","13","1","OK-REPLACED","1","1",""
"4.AR Invoice_ใบแจ้งหนี้ใบแจ้งหนี้ใบกำกับภาษี_(Dis).rpt","13","1","OK-REPLACED","1","1",""
"Withholding Tax certificate (53) v28.rpt","","14","OK-REPLACED","4","4"," | re-rendered with Refresh() (rpt has saved data)"
"Withholding Tax certificate (53) v28_A0070001.rpt","","14","STILL-EMPTY","0","1","records=0 (old PDF kept)"
