"File","Group","ObjType","SourceTable","DocKey","ObjectId","SampleSource","Status","Error","Pages","Records","Ms","OrigServer","OrigDb","OrigDbFlag","Subreports","Tables","ParamsSet","Pdf"
"1.AR Invoice_ใบแจ้งหนี้_(Bom).rpt","Form","13","OINV","-1","13","none","NO-SAMPLE","smoke run OK (key -1); OINV empty, no draft","1","0","3271","192.168.0.216","SBO_SDA_REAL","","0","4","DocKey@,ObjectId@","1.AR Invoice_ใบแจ้งหนี้_(Bom).pdf"
"1.AR Invoice_ใบแจ้งหนี้_(Dis).rpt","Form","13","OINV","-1","13","none","NO-SAMPLE","smoke run OK (key -1); OINV empty, no draft","1","0","3868","192.168.0.216","SBO_SDA_REAL","","0","4","DocKey@,ObjectId@","1.AR Invoice_ใบแจ้งหนี้_(Dis).pdf"
"1.AR_Credit Memo_ใบลดหนี้_(Batch_Serial) (Dis).rpt","Form","14","ORIN","-1","14","none","NEEDS-PARAM","no value for: ItemCode@","0","-1","3077","10.0.70.61|192.168.0.216","SBO_SDA_REAL","","1","5","Dockey@,ObjectId@,B/S/DocKey@",""
"1.AR_Credit Memo_ใบลดหนี้_ENG (Batch_Serial) (Dis).rpt","Form","14","ORIN","-1","14","none","NEEDS-PARAM","no value for: ItemCode@","0","-1","2898","10.0.70.61|192.168.0.216","SBO_SDA_REAL","","1","5","Dockey@,ObjectId@,B/S/DocKey@",""
"1.Delivery_ใบส่งของ_(Batch_Serial).rpt","Form","15","ODLN","-1","15","none","NEEDS-PARAM","no value for: ItemCode@","0","-1","2958","10.0.70.61|192.168.0.216","SBO_SDA_REAL","","1","4","DocKey@,ObjectId@,Batch/Serial/DocKey@",""
"1.Delivery_ใบส่งของ_Eng (Batch_Serial).rpt","Form","15","ODLN","-1","15","none","NEEDS-PARAM","no value for: ItemCode@","0","-1","2420","10.0.70.61|192.168.0.216","SBO_SDA_REAL","","1","4","DocKey@,ObjectId@,Batch/Serial/DocKey@",""
"1.Goods Issue_ใบเบิกสินค้า_(Batch_Serial).rpt","Form","60","OIGE","-1","60","none","NEEDS-PARAM","no value for: ItemCode@","0","-1","2976","10.0.70.61|192.168.0.216","SBO_SDA_REAL","","1","5","DocKey@,ObjectId@,Batch/DocKey@",""
"1.Goods Issue_ใบเบิกสินค้า_ENG (Batch_Serial).rpt","Form","60","OIGE","-1","60","none","NEEDS-PARAM","no value for: ItemCode@","0","-1","2265","10.0.70.61|192.168.0.216","SBO_SDA_REAL","","1","5","DocKey@,ObjectId@,Batch/DocKey@",""
"1.Goods Receipt_ENG ใบรับสินค้า_(Batch_Serial).rpt","Form","59","OIGN","-1","59","none","NEEDS-PARAM","no value for: ItemCode@","0","-1","2387","10.0.70.61|192.168.0.216","SBO_SDA_REAL","","1","5","DocKey@,ObjectId@,Batch/DocKey@",""
"1.Goods Receipt_ใบรับสินค้า_(Batch_Serial).rpt","Form","59","OIGN","-1","59","none","NEEDS-PARAM","no value for: ItemCode@","0","-1","2310","10.0.70.61|192.168.0.216","SBO_SDA_REAL","","1","5","DocKey@,ObjectId@,Batch/DocKey@",""
"1.Goods Reciept PO_TH_ใบรับสินค้า_(Batch_Serial).rpt","Form","20","OPDN","-1","20","none","NEEDS-PARAM","no value for: ItemCode@","0","-1","2798","10.0.70.61|192.168.0.216","SBO_SDA_REAL","","1","4","Dockey@,ObjectId@,Batch/Serial/DocKey@",""
"1.Goods Return_TH_ใบส่งคืนสินค้า_(Batch_Serial).rpt","Form","21","ORPD","-1","21","none","NEEDS-PARAM","no value for: ItemCode@","0","-1","2312","10.0.70.61|192.168.0.216","SBO_SDA_REAL","","1","4","DocKey@,ObjectId@,batch&serial/DocKey@",""
